component_name,component_link,Boost_Clock,Case_Expansion_Slot_Width,Chipset,Color,Cooling,Core_Clock,DisplayPort_Outputs,Effective_Memory_Clock,External_Power,Frame_Sync,HDMI_Outputs,Inferred_,Interface,Length,Manufacturer,Memory,Memory_Type,Part_#_#,SLI_CrossFire,TDP,Total_Slot_Width,,,
,https://pcpartpicker.com/product/93ZWGX/pny-vcg508016tfxpb1-geforce-rtx-5080-16-gb-video-card-vcg508016tfxpb1,2620 MHz,3,GeForce RTX 5080,Black,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,329 mm,PNY,16 GB,GDDR7,VCG508016TFXPB1,,360 W,3,,,
,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g,2970 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-03-20G,,304 W,3,,,
,https://pcpartpicker.com/product/2Ftkcf/asus-tuf-gaming-oc-geforce-rtx-5090-32-gb-video-card-tuf-rtx5090-o32g-gaming,,2,GeForce RTX 5090,Black / Silver,3 Fans,2010 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,348 mm,Asus,32 GB,GDDR7,TUF-RTX5090-O32G-GAMING; 90YV0LY0-M0NA00,,575 W,4,,,
,https://pcpartpicker.com/product/6QPv6h/asus-tuf-gaming-oc-radeon-rx-9070-xt-16-gb-video-card-tuf-rx9070xt-o16g-gaming,3080 MHz,2,Radeon RX 9070 XT,Black / Silver,3 Fans,2520 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,330 mm,Asus,16 GB,GDDR6,tuf-rx9070xt-o16g-gaming; 90YV0L70-M0NA00,,304 W,4,,,
,https://pcpartpicker.com/product/yYpQzy/asus-dual-evo-oc-radeon-rx-7600-8-gb-video-card-dual-rx7600-o8g-evo,2715 MHz,2,Radeon RX 7600,Black,2 Fans,1720 MHz,,,1 x PCIe 8-pin,FreeSync,,,PCIe x16,229 mm,Asus,8 GB,GDDR6,dual-rx7600-o8g-evo; 90YV0LD0-M0NA00,,165 W,3,,,
,https://pcpartpicker.com/product/gTHp99/asus-tuf-gaming-oc-geforce-rtx-5080-16-gb-video-card-tuf-rtx5080-o16g-gaming,,2,GeForce RTX 5080,Black / Silver,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,348 mm,Asus,16 GB,GDDR7,TUF-RTX5080-O16G-GAMING; 90YV0M30-M0NA00,,360 W,4,,,
,https://pcpartpicker.com/product/TmDnTW/sapphire-pure-radeon-rx-9070-xt-16-gb-video-card-11348-02-20g,3010 MHz,3,Radeon RX 9070 XT,White,3 Fans,2460 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-02-20G,,317 W,3,,,
,https://pcpartpicker.com/product/RVWmP6/asrock-steel-legend-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-sl-16g,2970 MHz,2,Radeon RX 9070 XT,White / Gray,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,298 mm,ASRock,16 GB,GDDR6,RX9070XT SL 16G; 90-GA5DZZ-00UANF,,304 W,3,,,
,https://pcpartpicker.com/product/h7RnTW/gigabyte-gaming-oc-radeon-rx-9070-xt-16-gb-video-card-gv-r9070xtgaming-oc-16gd,3060 MHz,2,Radeon RX 9070 XT,Black,3 Fans,2520 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,288 mm,Gigabyte,16 GB,GDDR6,GV-R9070XTGAMING OC-16GD,,304 W,3,,,
,https://pcpartpicker.com/product/JMZXsY/gigabyte-aero-oc-geforce-rtx-4090-24-gb-video-card-gv-n4090aero-oc-24gd,2535 MHz,2,GeForce RTX 4090,Silver / White,3 Fans,2520 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,342 mm,Gigabyte,24 GB,GDDR6X,GV-N4090AERO OC-24GD,,450 W,4,,,
,https://pcpartpicker.com/product/389nTW/xfx-quicksilver-radeon-rx-9070-xt-16-gb-video-card-rx-97tqickb9,2970 MHz,2,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,20000 MHz,2 x PCIe 8-pin,FreeSync,,,PCIe x16,350 mm,XFX,16 GB,GDDR6,RX-97TQICKB9,,304 W,4,,,
,https://pcpartpicker.com/product/k72WGX/powercolor-hellhound-radeon-rx-7900-xt-20-gb-video-card-rx7900xt-20g-loc,2500 MHz,3,Radeon RX 7900 XT,Black,3 Fans,2000 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,320 mm,PowerColor,20 GB,GDDR6,RX7900XT 20G-L/OC,,300 W,3,,,
,https://pcpartpicker.com/product/bjy8TW/msi-suprim-soc-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-32g-suprim-soc,,2,GeForce RTX 5090,Black / Silver,3 Fans,2010 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,359 mm,MSI,32 GB,GDDR7,GeForce RTX 5090 32G SUPRIM SOC; G5090-32SPS; RTX 5090 32G SUPRIM SOC; 912-V530-012; V530-026R,,575 W,4,,,
,https://pcpartpicker.com/product/VTFmP6/gigabyte-gaming-oc-radeon-rx-7700-xt-12-gb-video-card-gv-r77xtgaming-oc-12gd,2599 MHz,2,Radeon RX 7700 XT,Black,3 Fans,1700 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,302 mm,Gigabyte,12 GB,GDDR6,GV-R77XTGAMING OC-12GD,,245 W,3,,,
,https://pcpartpicker.com/product/ZdHp99/xfx-swift-radeon-rx-9070-xt-16-gb-video-card-rx-97tswf3w9,2970 MHz,2,Radeon RX 9070 XT,White,3 Fans,1660 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,325 mm,XFX,16 GB,GDDR6,RX-97TSWF3W9,,304 W,4,,,
,https://pcpartpicker.com/product/T7RnTW/xfx-swift-radeon-rx-9070-xt-16-gb-video-card-rx-97tswf3b9,2970 MHz,2,Radeon RX 9070 XT,Black,3 Fans,1660 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,325 mm,XFX,16 GB,GDDR6,RX-97TSWF3B9,,304 W,4,,,
,https://pcpartpicker.com/product/3nWzK8/msi-suprim-x-geforce-rtx-4080-16-gb-video-card-rtx-4080-16gb-suprim-x,2640 MHz,3,GeForce RTX 4080,Black,3 Fans,2205 MHz,,22400 MHz,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,336 mm,MSI,16 GB,GDDR6X,RTX 4080 16GB SUPRIM X; G408016SX; GeForce RTX 4080 16GB SUPRIM X; V511-004R; 912-V511-006,,320 W,4,,,
,https://pcpartpicker.com/product/7hy8TW/msi-suprim-liquid-soc-geforce-rtx-5080-16-gb-video-card-geforce-rtx-5080-16g-suprim-liquid-soc,,2,GeForce RTX 5080,Black / Silver,360 mm Radiator + 1 Fan,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,280 mm,MSI,16 GB,GDDR7,GeForce RTX 5080 16G SUPRIM LIQUID SOC; G5080-16SLS; RTX 5080 16G SUPRIM LIQUID SOC; 912-V531-007; GeForce RTX 5080 16G SUPRIM LI; V531-007R,,360 W,3,,,
,https://pcpartpicker.com/product/TmDnTW/sapphire-pure-radeon-rx-9070-xt-16-gb-video-card-11348-02-20g,3010 MHz,3,Radeon RX 9070 XT,White,3 Fans,2460 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-02-20G,,317 W,3,,,
,https://pcpartpicker.com/product/P6sMnQ/msi-vanguard-soc-geforce-rtx-5070-ti-16-gb-video-card-geforce-rtx-5070-ti-16g-vanguard-soc,2602 MHz,2,GeForce RTX 5070 Ti,Black / Silver,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,357 mm,MSI,16 GB,GDDR7,GeForce RTX 5070 Ti 16G VANGUARD SOC; RTX 5070 Ti 16G VANGUARD SOC; G507T-16VGS,,300 W,4,,,
,https://pcpartpicker.com/product/zQYRsY/asus-rog-strix-gaming-oc-geforce-rtx-4080-super-16-gb-video-card-rog-strix-rtx4080s-o16g-white,2670 MHz,2,GeForce RTX 4080 SUPER,White,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,358 mm,Asus,16 GB,GDDR6X,rog-strix-rtx4080s-o16g-white; 90YV0KB2-M0NA00; 90YV0KB2-M0AA00,,320 W,4,,,
,https://pcpartpicker.com/product/gCBG3C/asrock-phantom-gaming-oc-radeon-rx-7900-xtx-24-gb-video-card-rx7900xtx-pg-24go,2615 MHz,2,Radeon RX 7900 XTX,Black,3 Fans,2300 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,330 mm,ASRock,24 GB,GDDR6,RX7900XTX PG 24GO; 90-GA3YZZ-00UANF,,355 W,3,,,
,https://pcpartpicker.com/product/bbDQzy/asus-proart-oc-geforce-rtx-4080-super-16-gb-video-card-proart-rtx4080s-o16g,2640 MHz,2,GeForce RTX 4080 SUPER,Black / Gold,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,300 mm,Asus,16 GB,GDDR6X,proart-rtx4080s-o16g; 90YV0K90-M0NA00; 90YV0K90-M0AA00,,320 W,3,,,
,https://pcpartpicker.com/product/kxKhP6/msi-geforce-gtx-1060-3gb-3gb-video-card-gtx-1060-aero-itx-3g-oc,1759 MHz,2,GeForce GTX 1060 3GB,Black / White,1 Fan,1544 MHz,2,8008 MHz,1 x PCIe 6-pin,G-Sync,2,,PCIe x16,175 mm,MSI,3 GB,GDDR5,GTX 1060 AERO ITX 3G OC,,120 W,2,,,
,https://pcpartpicker.com/product/p9JBD3/gigabyte-eagle-oc-sff-geforce-rtx-5070-ti-16-gb-video-card-gv-n507teagle-oc-16gd,,2,GeForce RTX 5070 Ti,Black,3 Fans,2542 MHz,,28000 MHz,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,304 mm,Gigabyte,16 GB,GDDR7,GV-N507TEAGLE OC-16GD,,300 W,3,,,
,https://pcpartpicker.com/product/KQQRsY/gigabyte-radeon-rx-580-8gb-gaming-8g-video-card-gv-rx580gaming-8gd,1355 MHz,2,Radeon RX 580,Black / Orange,2 Fans,1257 MHz,3,8000 MHz,1 x PCIe 8-pin,FreeSync,1,,PCIe x16,232 mm,Gigabyte,8 GB,GDDR5,GV-RX580GAMING-8GD,4-way CrossFire Capable; 3-way CrossFire Capable; 2-way CrossFire Capable,185 W,2,,,
,https://pcpartpicker.com/product/87WmP6/nvidia-founders-edition-geforce-rtx-5080-16-gb-video-card-900-1g144-2545-000,2620 MHz,2,GeForce RTX 5080,Black / Gray,2 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,304 mm,NVIDIA,16 GB,GDDR7,900-1G144-2545-000,,360 W,3,,,
,https://pcpartpicker.com/product/7TbCmG/msi-radeon-rx-6800-16-gb-gaming-x-trio-video-card-rx6800gamingxtrio16g,2155 MHz,2,Radeon RX 6800,Black / Silver,3 Fans,1700 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,324 mm,MSI,16 GB,GDDR6,RX6800GAMINGXTRIO16G; Radeon RX 6800 GAMING X TRIO 16G; R6800GXT16; V396-002R,,250 W,3,,,
,https://pcpartpicker.com/product/7TbCmG/msi-radeon-rx-6800-16-gb-gaming-x-trio-video-card-rx6800gamingxtrio16g,2155 MHz,2,Radeon RX 6800,Black / Silver,3 Fans,1700 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,324 mm,MSI,16 GB,GDDR6,RX6800GAMINGXTRIO16G; Radeon RX 6800 GAMING X TRIO 16G; R6800GXT16; V396-002R,,250 W,3,,,
,https://pcpartpicker.com/product/ZprYcf/pny-geforce-rtx-2060-6-gb-xlr8-gaming-overclocked-edition-video-card-vcg20606sfppb-o,1725 MHz,2,GeForce RTX 2060,Black,1 Fan,1365 MHz,1,14000 MHz,1 x PCIe 8-pin,G-Sync,1,,PCIe x16,168 mm,PNY,6 GB,GDDR6,VCG20606SFPPB-O,,160 W,2,,,
,https://pcpartpicker.com/product/rQQKHx/asus-dual-evo-oc-geforce-rtx-4060-8-gb-video-card-dual-rtx4060-o8g-evo,2535 MHz,2,GeForce RTX 4060,Black,2 Fans,1830 MHz,,,1 x PCIe 8-pin,G-Sync,,,PCIe x16,227 mm,Asus,8 GB,GDDR6,DUAL-RTX4060-O8G-EVO; 90YV0JC7-M0NA00; 90YV0JC7-MVAA00,,115 W,3,,,
,https://pcpartpicker.com/product/VtPQzy/msi-suprim-liquid-x-geforce-rtx-4090-24-gb-video-card-geforce-rtx-4090-suprim-liquid-x-24g,,2,GeForce RTX 4090,Black / Silver,240 mm Radiator + 1 Fan,2235 MHz,,21000 MHz,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,280 mm,MSI,24 GB,GDDR6X,GeForce RTX 4090 SUPRIM LIQUID X 24G; RTX 4090 SUPRIM LIQUID X 24G; V510-007R; G4090SLX24,,450 W,2,,,
,https://pcpartpicker.com/product/ZKWzK8/asus-rog-strix-gaming-oc-geforce-rtx-4090-24-gb-video-card-rog-strix-rtx4090-o24g-gaming,2640 MHz,2,GeForce RTX 4090,Black,3 Fans,2235 MHz,,21000 MHz,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,358 mm,Asus,24 GB,GDDR6X,ROG-STRIX-RTX4090-O24G-GAMING; 90YV0ID0-M0NA00; 90YV0ID0-M0AA00,,450 W,4,,,
,https://pcpartpicker.com/product/RBbypg/gigabyte-aorus-master-geforce-rtx-5080-16-gb-video-card-gv-n5080aorus-m-16gd,,3,GeForce RTX 5080,Black,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,360 mm,Gigabyte,16 GB,GDDR7,GV-N5080AORUS M-16GD,,360 W,4,,,
,https://pcpartpicker.com/product/T2n9TW/pny-xlr8-gaming-verto-epic-x-rgb-oc-geforce-rtx-4080-super-16-gb-video-card-vcg4080s16tfxxpb1-o,2595 MHz,3,GeForce RTX 4080 SUPER,Black,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,332 mm,PNY,16 GB,GDDR6X,VCG4080S16TFXXPB1-O,,320 W,4,,,
,https://pcpartpicker.com/product/T2n9TW/pny-xlr8-gaming-verto-epic-x-rgb-oc-geforce-rtx-4080-super-16-gb-video-card-vcg4080s16tfxxpb1-o,2595 MHz,3,GeForce RTX 4080 SUPER,Black,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,332 mm,PNY,16 GB,GDDR6X,VCG4080S16TFXXPB1-O,,320 W,4,,,
,https://pcpartpicker.com/product/wP3WGX/msi-vanguard-soc-launch-edition-geforce-rtx-5070-12-gb-video-card-geforce-rtx-5070-12g-vanguard-soc-launch-edition,,2,GeForce RTX 5070,Black,3 Fans,2160 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,337 mm,MSI,12 GB,GDDR7,GeForce RTX 5070 12G VANGUARD SOC LAUNCH EDITION; G5070-12VGSL; RTX 5070 12G VANGUARD SOC LAUNCH EDITION,,250 W,3,,,
,https://pcpartpicker.com/product/8VcBD3/msi-shadow-3x-oc-geforce-rtx-5070-ti-16-gb-video-card-g507t-16s3c,2497 MHz,2,GeForce RTX 5070 Ti,Black,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,303 mm,MSI,16 GB,GDDR7,G507T-16S3C; GeForce RTX 5070 Ti 16G SHADOW 3X OC; RTX 5070 Ti 16G SHADOW 3X OC,,300 W,3,,,
,https://pcpartpicker.com/product/mYgZxr/pny-argb-epic-x-rgb-oc-geforce-rtx-5080-16-gb-video-card-vcg508016tfxxpb1-o,2780 MHz,3,GeForce RTX 5080,Black,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,329 mm,PNY,16 GB,GDDR7,VCG508016TFXXPB1-O,,360 W,3,,,
,https://pcpartpicker.com/product/7P3WGX/gigabyte-gaming-oc-geforce-rtx-5080-16-gb-video-card-gv-n5080gaming-oc-16gd,,3,GeForce RTX 5080,Black,3 Fans,2300 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,340 mm,Gigabyte,16 GB,GDDR7,GV-N5080GAMING OC-16GD,,360 W,4,,,
,https://pcpartpicker.com/product/kLJBD3/gigabyte-aorus-master-geforce-rtx-5090-32-gb-video-card-gv-n5090aorus-m-32gd,2655 MHz,3,GeForce RTX 5090,Black,3 Fans,2010 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,360 mm,Gigabyte,32 GB,GDDR7,GV-N5090AORUS M-32GD,,575 W,4,,,
,https://pcpartpicker.com/product/2Ftkcf/asus-tuf-gaming-oc-geforce-rtx-5090-32-gb-video-card-tuf-rtx5090-o32g-gaming,,2,GeForce RTX 5090,Black / Silver,3 Fans,2010 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,348 mm,Asus,32 GB,GDDR7,TUF-RTX5090-O32G-GAMING; 90YV0LY0-M0NA00,,575 W,4,,,
,https://pcpartpicker.com/product/QD2j4D/nvidia-founders-edition-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-founders-edition,2407 MHz,2,GeForce RTX 5090,Black / Silver,2 Fans,2017 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,304 mm,NVIDIA,32 GB,GDDR7,GeForce RTX 5090 Founders Edition; 900-1G144-2530-000; 9001G14425300CA; 9001G1442530SCS,,575 W,3,,,
,https://pcpartpicker.com/product/Hg92FT/xfx-radeon-rx-6800-16-gb-speedster-swft-319-video-card-rx-68xlaqfd9,2105 MHz,2,Radeon RX 6800,Black,3 Fans,1700 MHz,,16000 MHz,2 x PCIe 8-pin,FreeSync,,,PCIe x16,340 mm,XFX,16 GB,GDDR6,RX-68XLAQFD9,,250 W,3,,,
,https://pcpartpicker.com/product/T7RnTW/xfx-swift-radeon-rx-9070-xt-16-gb-video-card-rx-97tswf3b9,2970 MHz,2,Radeon RX 9070 XT,Black,3 Fans,1660 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,325 mm,XFX,16 GB,GDDR6,RX-97TSWF3B9,,304 W,4,,,
,https://pcpartpicker.com/product/8wDQzy/asrock-challenger-oc-radeon-rx-7700-xt-12-gb-video-card-rx7700xt-cl-12go,2584 MHz,2,Radeon RX 7700 XT,Black,2 Fans,1700 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,266 mm,ASRock,12 GB,GDDR6,RX7700XT CL 12GO; 90-GA4QZZ-00UANF,,245 W,3,,,
,https://pcpartpicker.com/product/BtkH99/powercolor-hellhound-oc-radeon-rx-7800-xt-16-gb-video-card-rx-7800-xt-16g-loc,2520 MHz,2,Radeon RX 7800 XT,Black,3 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,322 mm,PowerColor,16 GB,GDDR6,RX 7800 XT 16G-L/OC; RX7800XT 16GB-L/OC,,263 W,3,,,
,https://pcpartpicker.com/product/Jc7scf/galax-sg-1-click-oc-geforce-rtx-4080-super-16-gb-video-card-48szm6md9rsg,2625 MHz,3,GeForce RTX 4080 SUPER,Black,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,336 mm,GALAX,16 GB,GDDR6X,48SZM6MD9RSG,,320 W,4,,,
,https://pcpartpicker.com/product/GDdG3C/asrock-steel-legend-oc-radeon-rx-7900-gre-16-gb-video-card-rx7900gre-sl-16go,2333 MHz,2,Radeon RX 7900 GRE,White,3 Fans,1270 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,304 mm,ASRock,16 GB,GDDR6,RX7900GRE SL 16GO; 90-GA51ZZ-00UANF,,260 W,3,,,
,https://pcpartpicker.com/product/3BQcCJ/sapphire-pulse-radeon-rx-7900-xt-20-gb-video-card-11323-02-20g,2450 MHz,2,Radeon RX 7900 XT,Black / Red,3 Fans,2000 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,313 mm,Sapphire,20 GB,GDDR6,11323-02-20G,,331 W,3,,,
,https://pcpartpicker.com/product/RRfnTW/sapphire-pulse-radeon-rx-7900-xtx-24-gb-video-card-11322-02-20g,2525 MHz,2,Radeon RX 7900 XTX,Black / Red,3 Fans,2300 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,313 mm,Sapphire,24 GB,GDDR6,11322-02-20G,,370 W,3,,,
,https://pcpartpicker.com/product/GtXJ7P/xfx-speedster-merc-310-black-edition-radeon-rx-7900-xtx-24-gb-video-card-rx-79xmercb9,2615 MHz,2,Radeon RX 7900 XTX,Black / Silver,3 Fans,2300 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,344 mm,XFX,24 GB,GDDR6,RX-79XMERCB9,,355 W,3,,,
,https://pcpartpicker.com/product/2PpQzy/asus-dual-evo-oc-geforce-rtx-4060-ti-16-gb-video-card-dual-rtx4060ti-o16g-evo,2625 MHz,2,GeForce RTX 4060 Ti,Black,2 Fans,2310 MHz,,18000 MHz,1 x PCIe 8-pin,G-Sync,,,PCIe x16,227 mm,Asus,16 GB,GDDR6,DUAL-RTX4060TI-O16G-EVO; 90YV0JH8-M0NA00,,165 W,3,,,
,https://pcpartpicker.com/product/6QPv6h/asus-tuf-gaming-oc-radeon-rx-9070-xt-16-gb-video-card-tuf-rx9070xt-o16g-gaming,3080 MHz,2,Radeon RX 9070 XT,Black / Silver,3 Fans,2520 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,330 mm,Asus,16 GB,GDDR6,tuf-rx9070xt-o16g-gaming; 90YV0L70-M0NA00,,304 W,4,,,
,https://pcpartpicker.com/product/WcHp99/asus-prime-oc-radeon-rx-9070-xt-16-gb-video-card-prime-rx9070xt-o16g,3030 MHz,2,Radeon RX 9070 XT,Black,3 Fans,2460 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,312 mm,Asus,16 GB,GDDR6,prime-rx9070xt-o16g; 90YV0L71-M0NA00,,304 W,3,,,
,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g,2970 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-03-20G,,304 W,3,,,
,https://pcpartpicker.com/product/xfy8TW/powercolor-red-devil-oc-radeon-rx-9070-xt-16-gb-video-card-rx9070xt-16g-eoc,3060 MHz,2,Radeon RX 9070 XT,Black / Red,3 Fans,2460 MHz,,,3 x PCIe 8-pin,FreeSync,,,PCIe x16,340 mm,PowerColor,16 GB,GDDR6,RX9070XT 16G-E/OC; RX9070XT 16GB-E/OC,,304 W,4,,,
,https://pcpartpicker.com/product/WGG2FT/asus-rog-astral-oc-geforce-rtx-5090-32-gb-video-card-rog-astral-rtx5090-o32g-gaming,2610 MHz,2,GeForce RTX 5090,Black / Silver,3 Fans,2010 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,358 mm,Asus,32 GB,GDDR7,rog-astral-rtx5090-o32g-gaming; 90YV0LW0-M0NA00,,575 W,4,,,
,https://pcpartpicker.com/product/6tDkcf/msi-geforce-rtx-3080-10-gb-gaming-x-trio-video-card-rtx-3080-gaming-x-trio-10g,,2,GeForce RTX 3080 10GB,Black,3 Fans,1440 MHz,3,,3 x PCIe 8-pin,G-Sync,1,,PCIe x16,323 mm,MSI,10 GB,GDDR6X,RTX 3080 GAMING X TRIO 10G; GeForce RTX 3080 GAMING X TRIO 10G; V389-005R,,320 W,3,,,
,https://pcpartpicker.com/product/m8Tp99/amd-radeon-rx-6800-xt-16-gb-video-card-100-438370,2250 MHz,2,Radeon RX 6800 XT,Black / Silver,3 Fans,1825 MHz,2,,2 x PCIe 8-pin,FreeSync,1,,PCIe x16,267 mm,AMD,16 GB,GDDR6,100-438370,,300 W,3,,,
,https://pcpartpicker.com/product/QD2j4D/nvidia-founders-edition-geforce-rtx-5090-32-gb-video-card-geforce-rtx-5090-founders-edition,2407 MHz,2,GeForce RTX 5090,Black / Silver,2 Fans,2017 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,304 mm,NVIDIA,32 GB,GDDR7,GeForce RTX 5090 Founders Edition; 900-1G144-2530-000; 9001G14425300CA; 9001G1442530SCS,,575 W,3,,,
,https://pcpartpicker.com/product/NrXV3C/zotac-gaming-trinity-oc-geforce-rtx-4070-ti-super-16-gb-video-card-zt-d40730q-10p,2625 MHz,2,GeForce RTX 4070 Ti SUPER,White,3 Fans,2340 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,307 mm,Zotac,16 GB,GDDR6X,ZT-D40730Q-10P,,285 W,3,,,
,https://pcpartpicker.com/product/ZQPv6h/sapphire-nitro-radeon-rx-9070-xt-16-gb-video-card-11348-01-20g,3060 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2520 MHz,,,1 x PCIe 16-pin 12VHPWR,FreeSync,2,,PCIe x16,331 mm,Sapphire,16 GB,GDDR6,11348-01-20G,,330 W,4,,,
,https://pcpartpicker.com/product/KBqNnQ/powercolor-rx7800xt-16g-p-radeon-rx-7800-xt-16-gb-video-card-rx7800xt-16g-p,2430 MHz,2,Radeon RX 7800 XT,Black,2 Fans,1295 MHz,,,2 x PCIe 8-pin,FreeSync,,,PCIe x16,260 mm,PowerColor,16 GB,GDDR6,RX7800XT 16G-P,,263 W,3,,,
,https://pcpartpicker.com/product/94hv6h/gigabyte-aero-oc-geforce-rtx-4080-super-16-gb-video-card-gv-n408saero-oc-16gd,2595 MHz,2,GeForce RTX 4080 SUPER,White / Silver,3 Fans,2210 MHz,,,1 x PCIe 16-pin 12VHPWR,G-Sync,,,PCIe x16,342 mm,Gigabyte,16 GB,GDDR6X,GV-N408SAERO OC-16GD,,320 W,4,,,
,https://pcpartpicker.com/product/ZQPv6h/sapphire-nitro-radeon-rx-9070-xt-16-gb-video-card-11348-01-20g,3060 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2520 MHz,,,1 x PCIe 16-pin 12VHPWR,FreeSync,2,,PCIe x16,331 mm,Sapphire,16 GB,GDDR6,11348-01-20G,,330 W,4,,,
,https://pcpartpicker.com/product/Bvjv6h/sapphire-pulse-radeon-rx-9070-xt-16-gb-video-card-11348-03-20g,2970 MHz,3,Radeon RX 9070 XT,Black,3 Fans,2400 MHz,,,2 x PCIe 8-pin,FreeSync,2,,PCIe x16,320 mm,Sapphire,16 GB,GDDR6,11348-03-20G,,304 W,3,,,
,https://pcpartpicker.com/product/VzCZxr/asrock-challenger-oc-arc-a580-8-gb-video-card-a580-cl-8go,2000 MHz,2,Arc A580,Black,2 Fans,1700 MHz,,,2 x PCIe 8-pin,None,,,PCIe x16,271 mm,ASRock,8 GB,GDDR6,A580 CL 8GO; 90-GA3JZZ-00UANF,,175 W,3,,,
