component_type,component_name,component_link,Core_Count,Core_Family,ECC_Support,Efficiency_Core_Boost_Clock,Efficiency_Core_Clock,Includes_CPU_Cooler,Includes_Cooler,Inferred_,Integrated_Graphics,L2_Cache,L3_Cache,Lithography,Manufacturer,Maximum_Supported_Memory,Microarchitecture,Packaging,Part_#_#,Performance_Core_Boost_Clock,Performance_Core_Clock,Series,Simultaneous_Multithreading,Socket,TDP,Thread_Count,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 5 7600X 4.7 GHz 6-Core,https://pcpartpicker.com/product/66C48d/amd-ryzen-5-7600x-47-ghz-6-core-processor-100-100000593wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000593WOF,5.3 GHz,4.7 GHz,AMD Ryzen 5,Yes,AM5,105 W,12,
,AMD Ryzen 9 9950X3D 4.3 GHz 16-Core,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,Granite Ridge,Yes,,,No,No,,Radeon,16 MB,128 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000719WOF,5.7 GHz,4.3 GHz,AMD Ryzen 9,Yes,AM5,170 W,32,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 7 7800X3D 4.2 GHz 8-Core,https://pcpartpicker.com/product/3hyH99/amd-ryzen-7-7800x3d-42-ghz-8-core-processor-100-100000910wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000910WOF,5 GHz,4.2 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 9 9950X3D 4.3 GHz 16-Core,https://pcpartpicker.com/product/Pk62FT/amd-ryzen-9-9950x3d-43-ghz-16-core-processor-100-100000719wof,16,Granite Ridge,Yes,,,No,No,,Radeon,16 MB,128 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000719WOF,5.7 GHz,4.3 GHz,AMD Ryzen 9,Yes,AM5,170 W,32,
,AMD Ryzen 5 7600 3.8 GHz 6-Core,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,6,Raphael,Yes,,,Yes,Yes,,Radeon,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100001015BOX,5.1 GHz,3.8 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 7 7700X 4.5 GHz 8-Core,https://pcpartpicker.com/product/WfqPxr/amd-ryzen-7-7700x-45-ghz-8-core-processor-100-100000591wof,8,Raphael,Yes,,,No,No,,Radeon,8 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000591WOF,5.4 GHz,4.5 GHz,AMD Ryzen 7,Yes,AM5,105 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 9800X3D 4.7 GHz 8-Core,https://pcpartpicker.com/product/fPyH99/amd-ryzen-7-9800x3d-47-ghz-8-core-processor-100-1000001084wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,96 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001084WOF; AMD Ryzen 7 9800X3D; 100-100001084WOF,5.2 GHz,4.7 GHz,AMD Ryzen 7,Yes,AM5,120 W,16,
,AMD Ryzen 9 9900X3D 4.4 GHz 12-Core,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof,12,Granite Ridge,Yes,,,No,No,,Radeon,12 MB,128 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001368WOF; AMD-Ryzen-9-9900X3D; 100-100001368WOF,5.5 GHz,4.4 GHz,AMD Ryzen 9,Yes,AM5,120 W,24,
,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,Raphael,Yes,,,No,No,,Radeon,16 MB,128 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000908WOF,5.7 GHz,4.2 GHz,AMD Ryzen 9,Yes,AM5,120 W,32,
,Intel Core Ultra 7 265KF 3.9 GHz 20-Core,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf,20,Arrow Lake,No,4.6 GHz,3.3 GHz,No,No,,,36 MB,30 MB,3 nm,Intel,256 GB,Arrow Lake,Boxed,BX80768265KF,5.5 GHz,3.9 GHz,Intel Core Ultra 7,No,LGA1851,125 W,20,
,Intel Core i5-10600K 4.1 GHz 6-Core,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,6,Comet Lake,No,,,No,No,,Intel UHD Graphics 630,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110600K,4.8 GHz,4.1 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,Intel Core i5-10600K 4.1 GHz 6-Core,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,6,Comet Lake,No,,,No,No,,Intel UHD Graphics 630,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110600K,4.8 GHz,4.1 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,Intel Core i5-7400 3 GHz Quad-Core,https://pcpartpicker.com/product/qnM323/intel-core-i5-7400-30ghz-quad-core-processor-bx80677i57400,4,Kaby Lake-S,No,,,Yes,Yes,,Intel HD Graphics 630,1 MB,6 MB,14 nm,Intel,64 GB,Kaby Lake,Boxed,BX80677I57400,3.5 GHz,3 GHz,Intel Core i5,No,LGA1151,65 W,4,
,AMD Ryzen 5 7600 3.8 GHz 6-Core,https://pcpartpicker.com/product/yXmmP6/amd-ryzen-5-7600-38-ghz-6-core-processor-100-100001015box,6,Raphael,Yes,,,Yes,Yes,,Radeon,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100001015BOX,5.1 GHz,3.8 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 5 5600 3.5 GHz 6-Core,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000927BOX,4.4 GHz,3.5 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,Raphael,Yes,,,No,No,,Radeon,16 MB,128 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000908WOF,5.7 GHz,4.2 GHz,AMD Ryzen 9,Yes,AM5,120 W,32,
,AMD Ryzen 5 5600X 3.7 GHz 6-Core,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000065BOX,4.6 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 5 5600X 3.7 GHz 6-Core,https://pcpartpicker.com/product/g94BD3/amd-ryzen-5-5600x-37-ghz-6-core-processor-100-100000065box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000065BOX,4.6 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i5-12400F 2.5 GHz 6-Core,https://pcpartpicker.com/product/pQNxFT/intel-core-i5-12400f-25-ghz-6-core-processor-bx8071512400f,6,Alder Lake,No,,,Yes,Yes,,,7.5 MB,18 MB,10 nm,Intel,128 GB,Alder Lake,Boxed,BX8071512400F,4.4 GHz,2.5 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1700,65 W,12,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 9 9900X3D 4.4 GHz 12-Core,https://pcpartpicker.com/product/d7TFf7/amd-ryzen-9-9900x3d-44-ghz-12-core-processor-100-1000001368wof,12,Granite Ridge,Yes,,,No,No,,Radeon,12 MB,128 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-1000001368WOF; AMD-Ryzen-9-9900X3D; 100-100001368WOF,5.5 GHz,4.4 GHz,AMD Ryzen 9,Yes,AM5,120 W,24,
,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,Raphael,Yes,,,No,No,,Radeon,16 MB,128 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000908WOF,5.7 GHz,4.2 GHz,AMD Ryzen 9,Yes,AM5,120 W,32,
,Intel Core Ultra 7 265KF 3.9 GHz 20-Core,https://pcpartpicker.com/product/8myH99/intel-core-ultra-7-265kf-39-ghz-20-core-processor-bx80768265kf,20,Arrow Lake,No,4.6 GHz,3.3 GHz,No,No,,,36 MB,30 MB,3 nm,Intel,256 GB,Arrow Lake,Boxed,BX80768265KF,5.5 GHz,3.9 GHz,Intel Core Ultra 7,No,LGA1851,125 W,20,
,Intel Core i5-10600K 4.1 GHz 6-Core,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,6,Comet Lake,No,,,No,No,,Intel UHD Graphics 630,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110600K,4.8 GHz,4.1 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,Intel Core i5-10600K 4.1 GHz 6-Core,https://pcpartpicker.com/product/HcPgXL/intel-core-i5-10600k-41-ghz-6-core-processor-bx8070110600k,6,Comet Lake,No,,,No,No,,Intel UHD Graphics 630,1.5 MB,12 MB,14 nm,Intel,128 GB,Comet Lake,Boxed,BX8070110600K,4.8 GHz,4.1 GHz,Intel Core i5,Yes: Hyper-Threading,LGA1200,125 W,12,
,Intel Core i5-7400 3 GHz Quad-Core,https://pcpartpicker.com/product/qnM323/intel-core-i5-7400-30ghz-quad-core-processor-bx80677i57400,4,Kaby Lake-S,No,,,Yes,Yes,,Intel HD Graphics 630,1 MB,6 MB,14 nm,Intel,64 GB,Kaby Lake,Boxed,BX80677I57400,3.5 GHz,3 GHz,Intel Core i5,No,LGA1151,65 W,4,
,AMD Ryzen 5 5600 3.5 GHz 6-Core,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000927BOX,4.4 GHz,3.5 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 9 7950X3D 4.2 GHz 16-Core,https://pcpartpicker.com/product/X6XV3C/amd-ryzen-9-7950x3d-42-ghz-16-core-processor-100-100000908wof,16,Raphael,Yes,,,No,No,,Radeon,16 MB,128 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000908WOF,5.7 GHz,4.2 GHz,AMD Ryzen 9,Yes,AM5,120 W,32,
,AMD Ryzen 5 3600 3.6 GHz 6-Core,https://pcpartpicker.com/product/9nm323/amd-ryzen-5-3600-36-thz-6-core-processor-100-100000031box,6,Matisse,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,Ryzen 5 3600; 100-100000031BOX,4.2 GHz,3.6 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,Intel Core i9-14900K 3.2 GHz 24-Core,https://pcpartpicker.com/product/ZLjRsY/intel-core-i9-14900k-32-ghz-24-core-processor-bx8071514900k,24,Raptor Lake Refresh,Yes,4.4 GHz,2.4 GHz,No,No,,Intel UHD Graphics 770,32 MB,36 MB,7 nm,Intel,192 GB,Raptor Lake Refresh,Boxed,BX8071514900K,6 GHz,3.2 GHz,Intel Core i9,Yes: Hyper-Threading,LGA1700,125 W,32,
,AMD Ryzen 5 3500 3.6 GHz 6-Core,https://pcpartpicker.com/product/ZKqBD3/amd-ryzen-5-3500-36-ghz-6-core-processor-100-000000050,6,Matisse,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 2,Boxed,100-000000050,4.1 GHz,3.6 GHz,AMD Ryzen 5,No,AM4,65 W,6,
,AMD Ryzen 5 7600X3D 4.1 GHz 6-Core,https://pcpartpicker.com/product/RVhv6h/amd-ryzen-5-7600x3d-41-ghz-6-core-processor-100-100001721wof,6,Raphael,Yes,,,No,No,,Radeon,6 MB,96 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100001721WOF,4.7 GHz,4.1 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 9 7900X 4.7 GHz 12-Core,https://pcpartpicker.com/product/bwxRsY/amd-ryzen-9-7900x-47-ghz-12-core-processor-100-100000589wof,12,Raphael,Yes,,,No,No,,Radeon,12 MB,64 MB,5 nm,AMD,128 GB,Zen 4,Boxed,100-100000589WOF,5.6 GHz,4.7 GHz,AMD Ryzen 9,Yes,AM5,170 W,24,
,AMD Ryzen 5 7500F 3.7 GHz 6-Core OEM/Tray,https://pcpartpicker.com/product/ms4Zxr/amd-ryzen-5-7500f-37-ghz-6-core-oemtray-processor-100-000000597,6,Raphael,Yes,,,No,No,,,6 MB,32 MB,5 nm,AMD,128 GB,Zen 4,OEM/Tray,100-000000597,5 GHz,3.7 GHz,AMD Ryzen 5,Yes,AM5,65 W,12,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 7 5700X3D 3 GHz 8-Core,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,Vermeer-X,No,,,No,No,,,4 MB,96 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001503WOF,4.1 GHz,3 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
,Intel Core i7-11700KF 3.6 GHz 8-Core,https://pcpartpicker.com/product/Fgt9TW/intel-core-i7-11700kf-36-ghz-8-core-processor-bx8070811700kf,8,Rocket Lake-S,No,,,No,No,,,4 MB,16 MB,14 nm,Intel,128 GB,Rocket Lake,Boxed,BX8070811700KF,5 GHz,3.6 GHz,Intel Core i7,Yes: Hyper-Threading,LGA1200,125 W,16,
,AMD Ryzen 7 9700X 3.8 GHz 8-Core,https://pcpartpicker.com/product/YMzXsY/amd-ryzen-7-9700x-38-ghz-8-core-processor-100-100001404wof,8,Granite Ridge,Yes,,,No,No,,Radeon,8 MB,32 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100001404WOF,5.5 GHz,3.8 GHz,AMD Ryzen 7,Yes,AM5,65 W,16,
,AMD Ryzen 9 9900X 4.4 GHz 12-Core,https://pcpartpicker.com/product/Z6GhP6/amd-ryzen-9-9900x-44-ghz-12-core-processor-100-100000662wof,12,Granite Ridge,Yes,,,No,No,,Radeon,12 MB,64 MB,4 nm,AMD,192 GB,Zen 5,Boxed,100-100000662WOF,5.6 GHz,4.4 GHz,AMD Ryzen 9,Yes,AM5,120 W,24,
,AMD Ryzen 5 5600 3.5 GHz 6-Core,https://pcpartpicker.com/product/PgcG3C/amd-ryzen-5-5600-36-ghz-6-core-processor-100-100000927box,6,Vermeer,No,,,Yes,Yes,,,3 MB,32 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100000927BOX,4.4 GHz,3.5 GHz,AMD Ryzen 5,Yes,AM4,65 W,12,
,AMD Ryzen 7 5700X3D 3 GHz 8-Core,https://pcpartpicker.com/product/3ZKscf/amd-ryzen-7-5700x3d-3-ghz-8-core-processor-100-100001503wof,8,Vermeer-X,No,,,No,No,,,4 MB,96 MB,7 nm,AMD,128 GB,Zen 3,Boxed,100-100001503WOF,4.1 GHz,3 GHz,AMD Ryzen 7,Yes,AM4,105 W,16,
